,,Sales Mix Report,,,,,
"CVLT CLEAR EYES 0.2Z,  Each",$3.99 ,6,$23.94 ,0.01%,$0.00 ,$0.00 ,$23.94 
EYE CARE SUPPLIES Subtotal, ,6,$23.94 ,0.01%,$0.00 ,$0.00 ,$23.94 
FACIAL/TOILET TISSUE, , , , , , , 
"CHRM ULTR STRNG MEGA 4PK,  Each",$9.99 ,1,$9.99 ,0.00%,$0.00 ,$0.00 ,$9.99 
FACIAL/TOILET TISSUE Subtotal, ,1,$9.99 ,0.00%,$0.00 ,$0.00 ,$9.99 
FLU AND FEVER MEDICINE, , , , , , , 
"CVLT TYLENOL C&F SVR 4PC,  Each",$3.19 ,1,$3.19 ,0.00%,$0.00 ,$0.00 ,$3.19 
FLU AND FEVER MEDICINE Subtotal, ,1,$3.19 ,0.00%,$0.00 ,$0.00 ,$3.19 
LIP BALM, , , , , , , 
"CHPSTCK REG BL CRD .15,  Each",$2.39 ,2,$4.78 ,0.00%,$0.00 ,$0.00 ,$4.78 
LIP BALM Subtotal, ,2,$4.78 ,0.00%,$0.00 ,$0.00 ,$4.78 
OTHER OTC MEDICINE, , , , , , , 
"CVLT CLRTN ALRGY NDRW EA,  Each",$3.09 ,6,$18.54 ,0.01%,$0.00 ,$0.00 ,$18.54 
OTHER OTC MEDICINE Subtotal, ,6,$18.54 ,0.01%,$0.00 ,$0.00 ,$18.54 
PAIN RELIEF MEDICINE, , , , , , , 
"ADVIL TABLETS ,  Each",$5.99 ,1,$5.99 ,0.00%,$0.00 ,$0.00 ,$5.99 
"CVLT ADVIL 4PC EA,  Each",$2.19 ,7,$15.33 ,0.01%,$0.00 ,$0.00 ,$15.33 
"CVLT ADVIL CNGST 2PC EA,  Each",$2.29 ,1,$2.29 ,0.00%,$0.00 ,$0.00 ,$2.29 
"CVLT ALEVE 2PC EA,  Each",$2.19 ,7,$15.33 ,0.01%,$0.00 ,$0.00 ,$15.33 
"CVLT BENADRYL 4PC EA,  Each",$3.09 ,4,$12.36 ,0.00%,$0.00 ,$0.00 ,$12.36 
"CVLT BYR ASPRN 4PC EA,  Each",$2.09 ,2,$4.18 ,0.00%,$0.00 ,$0.00 ,$4.18 
"CVLT XS TYLENOL 4PC EA,  Each",$2.19 ,7,$15.33 ,0.01%,$0.00 ,$0.00 ,$15.33 
PAIN RELIEF MEDICINE Subtotal, ,29,$70.81 ,0.02%,$0.00 ,$0.00 ,$70.81 
TOOTHPASTE, , , , , , , 
"CVLT CREST TTHPST/TTHBRSH,  Each",$2.69 ,2,$5.38 ,0.00%,$0.00 ,$0.00 ,$5.38 
TOOTHPASTE Subtotal, ,2,$5.38 ,0.00%,$0.00 ,$0.00 ,$5.38 
HEALTH AND BEAUTY Subtotal, ,79,$223.91 ,0.08%,$0.00 ,$0.00 ,$223.91 
HOUSEHOLD SUPPLIES, , , , , , , 
PAPER TOWELS/NAPKINS/SURFACE WIPES, , , , , , , 
"CVP PRINTED TOWELS ,  Each",$1.99 ,2,$3.98 ,0.00%,$0.00 ,$0.00 ,$3.98 
PAPER TOWELS/NAPKINS/SURFACE WIPES Subtotal, ,2,$3.98 ,0.00%,$0.00 ,$0.00 ,$3.98 
HOUSEHOLD SUPPLIES Subtotal, ,2,$3.98 ,0.00%,$0.00 ,$0.00 ,$3.98 
PUBLICATIONS, , , , , , , 
DAILY NEWSPAPER, , , , , , , 
"SEATTLE TIMES DLY,  Each",$1.50 ,40,$60.00 ,0.02%,$0.00 ,$0.00 ,$60.00 
"SEATTLE TIMES SUN,  Each",$3.00 ,3,$9.00 ,0.00%,$0.00 ,$0.00 ,$9.00 
"USA TODAY,  Each",$2.00 ,6,$12.00 ,0.00%,$0.00 ,$0.00 ,$12.00 
DAILY NEWSPAPER Subtotal, ,49,$81.00 ,0.03%,$0.00 ,$0.00 ,$81.00 
PUBLICATIONS Subtotal, ,49,$81.00 ,0.03%,$0.00 ,$0.00 ,$81.00 
NON-FOOD PRODUCTS Subtotal, ,272,"$1,744.87 ",0.61%,$0.00 ,$7.09 ,"$1,737.78 "
OTHER NON-C-STORE REVENUE, , , , , , , 
NON-C-STORE REVENUE, , , , , , , 
CHARITY SALES, , , , , , , 
"CHARITY,  Each",$1.00 ,2,$2.00 ,0.00%,$0.00 ,$0.00 ,$2.00 
"CHARITY,  Each",$1.65 ,1,$1.65 ,0.00%,$0.00 ,$0.00 ,$1.65 
"CHARITY,  Each",$5.00 ,1,$5.00 ,0.00%,$0.00 ,$0.00 ,$5.00 
"CHARITY,  Each",$7.00 ,2,$14.00 ,0.00%,$0.00 ,$0.00 ,$14.00 
"CHARITY,  Each",$8.00 ,1,$8.00 ,0.00%,$0.00 ,$0.00 ,$8.00 
"CHARITY,  Each",$10.00 ,2,$20.00 ,0.01%,$0.00 ,$0.00 ,$20.00 
CHARITY SALES Subtotal, ,9,$50.65 ,0.02%,$0.00 ,$0.00 ,$50.65 
NON-C-STORE REVENUE Subtotal, ,9,$50.65 ,0.02%,$0.00 ,$0.00 ,$50.65 
OTHER NON-C-STORE REVENUE Subtotal, ,9,$50.65 ,0.02%,$0.00 ,$0.00 ,$50.65 
PKGD FOOD PRODUCTS, , , , , , , 
CANDY/CONFECTION, , , , , , , 
CHOCOLATE BARS AND BLOCKS, , , , , , , 
"3 MUSKETEERS KG 3Z,  Each",$2.19 ,7,$15.33 ,0.01%,$1.14 ,$0.00 ,$14.19 
"ALMOND JOY KG SZ 3Z,  Each",$2.19 ,12,$26.28 ,0.01%,$0.95 ,$0.00 ,$25.33 
"BUTTERFINGER SH 3.7Z,  Each",$2.19 ,1,$2.19 ,0.00%,$0.00 ,$0.00 ,$2.19 
"CARAMELLO KG 2.7Z,  Each",$2.19 ,3,$6.57 ,0.00%,$0.19 ,$0.00 ,$6.38 
"EM EG DRK CHC MNT 2.15Z,  Each",$1.89 ,1,$1.89 ,0.00%,$0.00 ,$0.00 ,$1.89 
"EM EG MLKCHCSLTCRML 2.15Z,  Each",$1.89 ,16,$30.24 ,0.01%,$8.40 ,$0.00 ,$21.84 
"FASTBREAK KG 3.5Z,  Each",$2.19 ,18,$39.42 ,0.01%,$3.16 ,$0.00 ,$36.26 
"HEATH TFF KG 2.8Z,  Each",$2.19 ,5,$10.95 ,0.00%,$0.38 ,$0.00 ,$10.57 
"HRSHY ALM KG 2.6Z,  Each",$2.19 ,35,$76.65 ,0.03%,$1.52 ,$0.00 ,$75.13 
"HRSHY ALM SD 1.45Z,  Each",$1.69 ,4,$6.76 ,0.00%,$0.38 ,$0.00 ,$6.38 
"HRSHY CKIES & CRM SD1.55Z,  Each",$1.69 ,1,$1.69 ,0.00%,$0.00 ,$0.00 ,$1.69 
"HRSHY CKS N CRM KG 2.6Z,  Each",$2.19 ,14,$30.66 ,0.01%,$1.90 ,$0.00 ,$28.76 
"HRSHY MLK KG 2.6Z,  Each",$2.19 ,11,$24.09 ,0.01%,$1.52 ,$0.00 ,$22.57 
"HRSHY MLK SD 1.55Z,  Each",$1.69 ,1,$1.69 ,0.00%,$0.00 ,$0.00 ,$1.69 
"HRSHY WHT W ALMD KG 2.6Z,  Each",$2.19 ,8,$17.52 ,0.01%,$0.57 ,$0.00 ,$16.95 
"KIT KAT BIG KAT KG 3Z,  Each",$2.19 ,7,$15.33 ,0.01%,$0.00 ,$0.00 ,$15.33 
"KIT KAT BTS KG 2.2Z,  Each",$2.19 ,1,$2.19 ,0.00%,$0.00 ,$0.00 ,$2.19 
"KIT KAT DUOS KG 3Z,  Each",$2.19 ,8,$17.52 ,0.01%,$1.14 ,$0.00 ,$16.38 
"KIT KAT KG 3Z,  Each",$2.19 ,14,$30.66 ,0.01%,$1.14 ,$0.00 ,$29.52 
"KIT KAT SD 1.5Z,  Each",$1.69 ,5,$8.45 ,0.00%,$0.00 ,$0.00 ,$8.45 
"M&M ALM KG 2.83Z,  Each",$2.19 ,4,$8.76 ,0.00%,$0.76 ,$0.00 ,$8.00 
"M&M CRML 2.83Z,  Each",$2.19 ,1,$2.19 ,0.00%,$0.19 ,$0.00 ,$2.00 
"M&M HAZELNUT KG 2.53Z,  Each",$2.19 ,4,$8.76 ,0.00%,$0.57 ,$0.00 ,$8.19 
"MILKY WAY KG 3.63Z,  Each",$2.19 ,4,$8.76 ,0.00%,$0.38 ,$0.00 ,$8.38 
"MILKY WAY MDNT 2TG 2.83Z,  Each",$2.19 ,6,$13.14 ,0.00%,$0.76 ,$0.00 ,$12.38 
"MILKY WAY SLTCRML SH3.16Z,  Each",$2.19 ,5,$10.95 ,0.00%,$0.19 ,$0.00 ,$10.76 
"MOUNDS KG 3.5Z,  Each",$2.19 ,2,$4.38 ,0.00%,$0.19 ,$0.00 ,$4.19 
"MR GOODBR KG SZ 2.6Z,  Each",$2.19 ,3,$6.57 ,0.00%,$0.19 ,$0.00 ,$6.38 
"PAYDAY KG SZ 3.4Z,  Each",$2.19 ,25,$54.75 ,0.02%,$2.09 ,$0.00 ,$52.66 
"PAYDAY SD 1.85Z,  Each",$1.69 ,4,$6.76 ,0.00%,$0.00 ,$0.00 ,$6.76 
"REESES BG CUP KG 2.8Z,  Each",$2.19 ,17,$37.23 ,0.01%,$5.35 ,$0.00 ,$31.88 
"REESES CSP CNCH KG 3.10Z,  Each",$2.19 ,3,$6.57 ,0.00%,$0.19 ,$0.00 ,$6.38 
"REESES NTRGS KG 3.1Z,  Each",$2.19 ,9,$19.71 ,0.01%,$1.39 ,$0.00 ,$18.32 
"REESES OUTRAGOUS KG 2.95Z,  Each",$2.19 ,2,$4.38 ,0.00%,$0.59 ,$0.00 ,$3.79 
"REESES PB CP KG SZ 3Z,  Each",$2.19 ,32,$70.08 ,0.02%,$6.92 ,$0.00 ,$63.16 
"REESES PB CP PCS KG 2.8Z,  Each",$2.19 ,17,$37.23 ,0.01%,$5.36 ,$0.00 ,$31.87 
"REESES PB CP SD 1.5Z,  Each",$1.69 ,7,$11.83 ,0.00%,$0.38 ,$0.00 ,$11.45 
"REESES PBC MINIS KG 2.5Z,  Each",$2.19 ,4,$8.76 ,0.00%,$1.98 ,$0.00 ,$6.78 
"REESES STKS KG 3Z,  Each",$2.19 ,36,$78.84 ,0.03%,$7.14 ,$0.00 ,$71.70 
"REESES WHT KG 2.8Z,  Each",$2.19 ,4,$8.76 ,0.00%,$1.19 ,$0.00 ,$7.57 
"SNICKERS ALM KG 3.23Z,  Each",$2.19 ,13,$28.47 ,0.01%,$1.33 ,$0.00 ,$27.14 
"SNICKERS CRMY ALMB KG2.8Z,  Each",$2.19 ,5,$10.95 ,0.00%,$0.76 ,$0.00 ,$10.19 
"SNICKERS CRMY PB KG 2.8Z,  Each",$2.19 ,7,$15.33 ,0.01%,$0.19 ,$0.00 ,$15.14 
"SNICKERS KG 3.29Z,  Each",$2.19 ,33,$72.27 ,0.03%,$2.28 ,$0.00 ,$69.99 
"SNICKERS PB SQR KG 3.56Z,  Each",$2.19 ,2,$4.38 ,0.00%,$0.19 ,$0.00 ,$4.19 
"SNICKERS SD 1.86Z,  Each",$1.69 ,17,$28.73 ,0.01%,$0.76 ,$0.00 ,$27.97 
"TAKE 5 KG 2.25Z,  Each",$2.19 ,11,$24.09 ,0.01%,$1.71 ,$0.00 ,$22.38 
"TWIX CKIE CREME SH 2.72Z,  Each",$2.19 ,8,$17.52 ,0.01%,$1.33 ,$0.00 ,$16.19 
"TWIX CRML KG 3.02Z,  Each",$2.19 ,16,$35.04 ,0.01%,$2.09 ,$0.00 ,$32.95 
"TWIX CRML SD 1.79Z,  Each",$1.69 ,3,$5.07 ,0.00%,$0.00 ,$0.00 ,$5.07 
"TWIX PB KG 2.8Z,  Each",$2.19 ,10,$21.90 ,0.01%,$0.95 ,$0.00 ,$20.95 
"TWIX WHT CHC KG 2.64Z,  Each",$2.19 ,4,$8.76 ,0.00%,$0.38 ,$0.00 ,$8.38 
"WHATCHAMCLIT KG 2.6Z,  Each",$2.19 ,13,$28.47 ,0.01%,$1.71 ,$0.00 ,$26.76 
CHOCOLATE BARS AND BLOCKS Subtotal, ,503,"$1,075.47 ",0.38%,$71.88 ,$0.00 ,"$1,003.59 "
GUM, , , , , , , 
"5 COBALT 15CT,  Each",$1.89 ,5,$9.45 ,0.00%,$0.00 ,$0.00 ,$9.45 
"5 COBALT PEPPERMINT 35CT,  Each",$3.89 ,1,$3.89 ,0.00%,$0.00 ,$0.00 ,$3.89 
"5 RAIN GUM 15CT,  Each",$1.89 ,4,$7.56 ,0.00%,$0.00 ,$0.00 ,$7.56 
"5 RAIN SPEARMINT 35CT,  Each",$3.89 ,1,$3.89 ,0.00%,$0.00 ,$0.00 ,$3.89 
"5 REACT MINT 15CT,  Each",$1.89 ,1,$1.89 ,0.00%,$0.00 ,$0.00 ,$1.89 
"DENTYNE ICE PPMT 16CT,  Each",$1.69 ,7,$11.83 ,0.00%,$0.00 ,$0.00 ,$11.83 
"DOUBLEMINT 15CT,  Each",$1.69 ,9,$15.21 ,0.01%,$0.00 ,$0.00 ,$15.21 
"ECLIPSE SPEAR 8/EA,  Each",$1.69 ,5,$8.45 ,0.00%,$0.00 ,$0.00 ,$8.45 
"ECLIPSE WINTER 8/EA,  Each",$1.69 ,4,$6.76 ,0.00%,$0.00 ,$0.00 ,$6.76 
"EXTRA CIN 15CT,  Each",$1.69 ,5,$8.45 ,0.00%,$0.00 ,$0.00 ,$8.45 
"EXTRA POLAR ICE 15CT,  Each",$1.69 ,3,$5.07 ,0.00%,$0.00 ,$0.00 ,$5.07 
"EXTRA POLAR ICE 35CT,  Each",$3.19 ,2,$6.38 ,0.00%,$0.00 ,$0.00 ,$6.38 
"EXTRA PPMT 15CT,  Each",$1.69 ,8,$13.52 ,0.00%,$0.00 ,$0.00 ,$13.52 
"EXTRA RFFSHRS SPMT 40CT,  Each",$4.49 ,1,$4.49 ,0.00%,$0.00 ,$0.00 ,$4.49 
"EXTRA SPMT 15CT,  Each",$1.69 ,4,$6.76 ,0.00%,$0.00 ,$0.00 ,$6.76 
"EXTRA SPMT 35CT,  Each",$3.19 ,1,$3.19 ,0.00%,$0.00 ,$0.00 ,$3.19 
"ICE BREAKER ARCT GRP3.24Z,  Each",$4.59 ,11,$50.49 ,0.02%,$0.00 ,$0.00 ,$50.49 
"ICE BREAKER FRTPNCH 40PCS,  Each",$4.59 ,4,$18.36 ,0.01%,$0.00 ,$0.00 ,$18.36 
"ICE BREAKER PPMT 3.24Z,  Each",$4.59 ,2,$9.18 ,0.00%,$0.00 ,$0.00 ,$9.18 
"ICE BREAKER SPMNT BTTL 3.24Z,  Each",$4.59 ,1,$4.59 ,0.00%,$0.00 ,$0.00 ,$4.59 
"JUICY FRUIT 15CT,  Each",$1.69 ,3,$5.07 ,0.00%,$0.00 ,$0.00 ,$5.07 
"MENTOS PF MINT 50CT,  Each",$4.79 ,2,$9.58 ,0.00%,$0.00 ,$0.00 ,$9.58 
"MENTOS PF SPRMNT 50CT,  Each",$4.79 ,2,$9.58 ,0.00%,$0.00 ,$0.00 ,$9.58 
"MENTOS PURE FRSH MNT GUM,  Each",$2.09 ,1,$2.09 ,0.00%,$0.00 ,$0.00 ,$2.09 
"ORBIT PEPPERMINT 14CT,  Each",$1.59 ,12,$19.08 ,0.01%,$1.92 ,$0.00 ,$17.16 
"ORBIT SPEARMINT 14CT,  Each",$1.59 ,1,$1.59 ,0.00%,$0.00 ,$0.00 ,$1.59 
"ORBIT WHT PPMT 40CT,  Each",$4.49 ,5,$22.45 ,0.01%,$0.00 ,$0.00 ,$22.45 
"ORBIT WHT SPRMT 40CT,  Each",$4.49 ,1,$4.49 ,0.00%,$0.00 ,$0.00 ,$4.49 
"TRIDENT BUBBLEGUM 14CT,  Each",$1.69 ,1,$1.69 ,0.00%,$0.00 ,$0.00 ,$1.69 
"TRIDENT ORGNL 14CT,  Each",$1.69 ,5,$8.45 ,0.00%,$0.00 ,$0.00 ,$8.45 
"TRIDENT SPRMNT 14CT,  Each",$1.69 ,5,$8.45 ,0.00%,$0.00 ,$0.00 ,$8.45 
"TRIDENT TROP TWST 14CT,  Each",$1.69 ,4,$6.76 ,0.00%,$0.00 ,$0.00 ,$6.76 
"TRIDENT WHT PPMT 16CT,  Each",$1.69 ,6,$10.14 ,0.00%,$0.00 ,$0.00 ,$10.14 
"TRIDENT WTRMLN TWST 14CT,  Each",$1.69 ,2,$3.38 ,0.00%,$0.00 ,$0.00 ,$3.38 
GUM Subtotal, ,129,$312.21 ,0.11%,$1.92 ,$0.00 ,$310.29 
MINT CANDY, , , , , , , 
"ALTOIDS PEPPERMNT 1.76Z,  Each",$2.69 ,5,$13.45 ,0.00%,$0.00 ,$0.00 ,$13.45 
"ALTOIDS WINTERGREEN 1.76Z,  Each",$2.69 ,1,$2.69 ,0.00%,$0.00 ,$0.00 ,$2.69 
"ICE BREAKER CLMT TIN1.5Z,  Each",$2.79 ,1,$2.79 ,0.00%,$0.00 ,$0.00 ,$2.79 
"ICE BREAKER SPEARMINT 1.5Z,  Each",$2.79 ,2,$5.58 ,0.00%,$0.00 ,$0.00 ,$5.58 
"ICE BREAKER WNTG TIN1.5Z,  Each",$2.79 ,3,$8.37 ,0.00%,$0.00 ,$0.00 ,$8.37 
"MENTOS CLNBRTH PPRMT 30PC,  Each",$2.09 ,6,$12.54 ,0.00%,$0.00 ,$0.00 ,$12.54 
"MENTOS MIXED FRT 1.3Z,  Each",$1.49 ,6,$8.94 ,0.00%,$0.00 ,$0.00 ,$8.94 
"MENTOS MNT 1.3Z,  Each",$1.49 ,4,$5.96 ,0.00%,$0.00 ,$0.00 ,$5.96 
"TIC TAC COKE 3.4Z,  Each",$4.09 ,7,$28.63 ,0.01%,$2.95 ,$0.00 ,$25.68 
"TIC TAC FRESHMINT,  Each",$1.79 ,3,$5.37 ,0.00%,$0.00 ,$0.00 ,$5.37 
"TIC TAC FRUIT ADNTR 1Z,  Each",$1.79 ,2,$3.58 ,0.00%,$0.00 ,$0.00 ,$3.58 
"TIC TAC FRUIT ADNTR 200CT,  Each",$4.09 ,1,$4.09 ,0.00%,$0.00 ,$0.00 ,$4.09 
"TIC TAC ORANGE 200CT,  Each",$4.09 ,2,$8.18 ,0.00%,$0.59 ,$0.00 ,$7.59 
"TIC TAC XFRZ WNTRGRN 1.7Z,  Each",$3.19 ,2,$6.38 ,0.00%,$0.00 ,$0.00 ,$6.38 
MINT CANDY Subtotal, ,45,$116.55 ,0.04%,$3.54 ,$0.00 ,$113.01 
NOVELTY CHOCOLATE, , , , , , , 
"KINDER BUENO 1.5Z,  Each",$1.89 ,43,$81.27 ,0.03%,$12.48 ,$0.00 ,$68.79 
"KINDER BUENO 3Z,  Each",$2.59 ,9,$23.31 ,0.01%,$0.00 ,$0.00 ,$23.31 
"KINDER JOY .7Z,  Each",$2.09 ,6,$12.54 ,0.00%,$2.36 ,$0.00 ,$10.18 
NOVELTY CHOCOLATE Subtotal, ,58,$117.12 ,0.04%,$14.84 ,$0.00 ,$102.28 
NOVELTY SUGAR CANDY, , , , , , , 
"HARIBO GOLD BEARS 5Z,  Each",$2.09 ,12,$25.08 ,0.01%,$0.00 ,$0.00 ,$25.08 
"TOPPS BABY BOTLE POP 1.1Z,  Each",$1.89 ,11,$20.79 ,0.01%,$0.00 ,$0.00 ,$20.79 
NOVELTY SUGAR CANDY Subtotal, ,23,$45.87 ,0.02%,$0.00 ,$0.00 ,$45.87 
OTHER CHOCOLATE, , , , , , , 
"HRSHY GOLD SD 1.4Z,  Each",$1.69 ,1,$1.69 ,0.00%,$0.00 ,$0.00 ,$1.69 
"M&M MLK CHC KG 3.14Z,  Each",$2.19 ,1,$2.19 ,0.00%,$0.00 ,$0.00 ,$2.19 
"M&M MLK CHC SD 1.69Z,  Each",$1.69 ,3,$5.07 ,0.00%,$0.00 ,$0.00 ,$5.07 
"M&M PB KG 2.83Z,  Each",$2.19 ,1,$2.19 ,0.00%,$0.00 ,$0.00 ,$2.19 
"M&M PNT KG 3.27Z,  Each",$2.19 ,12,$26.28 ,0.01%,$1.52 ,$0.00 ,$24.76 
"M&M PNT SD 2Z,  Each",$1.69 ,10,$16.90 ,0.01%,$0.38 ,$0.00 ,$16.52 
"M&M WHT CHC KG 2.47Z,  Each",$2.19 ,1,$2.19 ,0.00%,$0.19 ,$0.00 ,$2.00 
OTHER CHOCOLATE Subtotal, ,29,$56.51 ,0.02%,$2.09 ,$0.00 ,$54.42 
SOFT SUGAR CANDY, , , , , , , 
"HARIBO TWIN SNAKES 5Z,  Each",$2.09 ,12,$25.08 ,0.01%,$0.00 ,$0.00 ,$25.08 
"HOT TAMALES CINN 5Z,  Each",$1.69 ,3,$5.07 ,0.00%,$0.00 ,$0.00 ,$5.07 
"L SAV GUMMI 5 FL KG 4.2Z,  Each",$2.19 ,3,$6.57 ,0.00%,$0.19 ,$0.00 ,$6.38 
"MIKE & IKE MEGA MIX 5Z,  Each",$1.89 ,5,$9.45 ,0.00%,$0.00 ,$0.00 ,$9.45 
"RED VINE TRAY 5,  Each",$2.19 ,14,$30.66 ,0.01%,$0.00 ,$0.00 ,$30.66 
"SKITTLES SD 2.17Z,  Each",$1.69 ,4,$6.76 ,0.00%,$0.00 ,$0.00 ,$6.76 
"SKITTLES TR&SH 4Z,  Each",$2.19 ,16,$35.04 ,0.01%,$0.57 ,$0.00 ,$34.47 
"SKITTLES WLDBRY SH 4Z,  Each",$2.19 ,13,$28.47 ,0.01%,$1.14 ,$0.00 ,$27.33 
"SKITTLES YGRT DIP SH 2.9Z,  Each",$2.19 ,7,$15.33 ,0.01%,$0.19 ,$0.00 ,$15.14 
"STARBURST DUOS SD 2.07Z,  Each",$1.69 ,15,$25.35 ,0.01%,$0.00 ,$0.00 ,$25.35 
"STARBURST FAV RD SH 3.45Z,  Each",$2.19 ,5,$10.95 ,0.00%,$0.00 ,$0.00 ,$10.95 
"STARBURST GMY SR 3.5Z,  Each",$2.19 ,5,$10.95 ,0.00%,$0.00 ,$0.00 ,$10.95 
"STARBURST MG STK KG 3.45Z,  Each",$2.19 ,4,$8.76 ,0.00%,$0.57 ,$0.00 ,$8.19 
"SWEETARTS ROPE SH 3.5Z,  Each",$2.19 ,12,$26.28 ,0.01%,$0.38 ,$0.00 ,$25.90 
"TWZLRS STR TWST KG 5Z,  Each",$2.19 ,4,$8.76 ,0.00%,$0.00 ,$0.00 ,$8.76 
SOFT SUGAR CANDY Subtotal, ,122,$253.48 ,0.09%,$3.04 ,$0.00 ,$250.44 
SPECIALTY/OCCASIONAL, , , , , , , 
"ROCHER 3PC HZUT,  Each",$1.79 ,14,$25.06 ,0.01%,$0.00 ,$0.00 ,$25.06 
SPECIALTY/OCCASIONAL Subtotal, ,14,$25.06 ,0.01%,$0.00 ,$0.00 ,$25.06 
CANDY/CONFECTION Subtotal, ,923,"$2,002.27 ",0.70%,$97.31 ,$0.00 ,"$1,904.96 "
FROZEN GROCERY, , , , , , , 
BAGGED ICE, , , , , , , 
"7LB ICE BAG ,  Each",$3.09 ,125,$386.25 ,0.14%,$0.00 ,$0.00 ,$386.25 
BAGGED ICE Subtotal, ,125,$386.25 ,0.14%,$0.00 ,$0.00 ,$386.25 
FROZEN GROCERY Subtotal, ,125,$386.25 ,0.14%,$0.00 ,$0.00 ,$386.25 
PERISHABLE GROCERY, , , , , , , 
CHEESE, , , , , , , 
"KRAFT AMER CHS SL IW 8OZ,  Each",$4.99 ,1,$4.99 ,0.00%,$0.00 ,$0.00 ,$4.99 
"KRAFT CB CHS STICK 1Z,  Each",$0.99 ,36,$35.64 ,0.01%,$0.00 ,$0.00 ,$35.64 
"KRAFT STRING CHS MOZ 1Z,  Each",$0.99 ,13,$12.87 ,0.00%,$0.00 ,$0.00 ,$12.87 
CHEESE Subtotal, ,50,$53.50 ,0.02%,$0.00 ,$0.00 ,$53.50 
YOGURT, , , , , , , 
"CHBNI GRK YGRT BLBRY 5.3Z,  Each",$1.99 ,5,$9.95 ,0.00%,$0.00 ,$0.00 ,$9.95 
YOGURT Subtotal, ,5,$9.95 ,0.00%,$0.00 ,$0.00 ,$9.95 
PERISHABLE GROCERY Subtotal, ,55,$63.45 ,0.02%,$0.00 ,$0.00 ,$63.45 
SHELF STABLE GROCERY, , , , , , , 
BREAKFAST CEREALS, , , , , , , 
" CINN TOAST CRNCH 2 CU,  Each",$1.29 ,1,$1.29 ,0.00%,$0.00 ,$0.00 ,$1.29 
"CHEERIOS CUP 1.3 ,  Each",$1.29 ,1,$1.29 ,0.00%,$0.00 ,$0.00 ,$1.29 
"COCOA KRISPIES CP 2.3Z,  Each",$1.29 ,1,$1.29 ,0.00%,$0.00 ,$0.00 ,$1.29 
"CPTN CRNCH REG CUP 1.51 OZ,  Each",$1.19 ,4,$4.76 ,0.00%,$0.00 ,$0.00 ,$4.76 
"FROOT LOOPS CP 1.5Z,  Each",$1.29 ,1,$1.29 ,0.00%,$0.00 ,$0.00 ,$1.29 
"FRSTD FLKS CP 2.1Z,  Each",$1.29 ,5,$6.45 ,0.00%,$0.00 ,$0.00 ,$6.45 
"HONEY NUT CHEERIOS 1.8,  Each",$1.29 ,8,$10.32 ,0.00%,$0.00 ,$0.00 ,$10.32 
"QKR MPL BRN SGR 1.69Z,  Each",$1.89 ,1,$1.89 ,0.00%,$0.00 ,$0.00 ,$1.89 
"RASIN BRAN CP 2.8Z,  Each",$1.29 ,9,$11.61 ,0.00%,$0.00 ,$0.00 ,$11.61 
BREAKFAST CEREALS Subtotal, ,31,$40.19 ,0.01%,$0.00 ,$0.00 ,$40.19 
CONDIMENTS (GROCERY), , , , , , , 
"HEINZ EZSQZ KTCHP SS 20,  Each",$3.99 ,2,$7.98 ,0.00%,$0.00 ,$0.00 ,$7.98 
CONDIMENTS (GROCERY) Subtotal, ,2,$7.98 ,0.00%,$0.00 ,$0.00 ,$7.98 
DRESSINGS/DIPS, , , , , , , 
"FRITO JALAPENO DIP 9Z,  Each",$3.39 ,1,$3.39 ,0.00%,$0.00 ,$0.00 ,$3.39 
"MILD CHDR DIP 9.0Z,  Each",$2.99 ,1,$2.99 ,0.00%,$0.00 ,$0.00 ,$2.99 
"TOSTITOS SLSA CN QUSO 15Z,  Each",$3.99 ,3,$11.97 ,0.00%,$0.00 ,$0.00 ,$11.97 
DRESSINGS/DIPS Subtotal, ,5,$18.35 ,0.01%,$0.00 ,$0.00 ,$18.35 
FRUITS/DESSERTS, , , , , , , 
"DEL MONTE FRT CKTL 15.25,  Each",$2.89 ,2,$5.78 ,0.00%,$0.00 ,$0.00 ,$5.78 
"DEL MONTE PEACH SLCD15.25,  Each",$2.89 ,3,$8.67 ,0.00%,$0.00 ,$0.00 ,$8.67 
"DOLE FRT BWL MNDRN ORNG 7OZ,  Each",$1.99 ,2,$3.98 ,0.00%,$0.00 ,$0.00 ,$3.98 
"DOLE FRT BWL PEACHES 7OZ,  Each",$1.99 ,9,$17.91 ,0.01%,$0.00 ,$0.00 ,$17.91 
FRUITS/DESSERTS Subtotal, ,16,$36.34 ,0.01%,$0.00 ,$0.00 ,$36.34 
MEAT/FISH, , , , , , , 
"STRKST CHK LT TUNA/WTR 5,  Each",$1.99 ,2,$3.98 ,0.00%,$0.00 ,$0.00 ,$3.98 
"STRKST LNCH2GO LT/WTR4.1,  Each",$2.69 ,2,$5.38 ,0.00%,$0.00 ,$0.00 ,$5.38 
MEAT/FISH Subtotal, ,4,$9.36 ,0.00%,$0.00 ,$0.00 ,$9.36 
NOODLES, , , , , , , 
"CP NDLS VRY VG CKN 2.65Z,  Each",$1.29 ,3,$3.87 ,0.00%,$0.00 ,$0.00 ,$3.87 
"CUP O NDLES BEEF 2.25,  Each",$1.29 ,1,$1.29 ,0.00%,$0.00 ,$0.00 ,$1.29 
